glacier,Carrivick,HF,Bedmap2,Deepbedmap,Bedmachine,Shahateet
Niepce_Glacier,0.085409954103256,0.320673472740839,0,0.124607419162833,0.00121997855809,0.396645579692754
no_data_13,0.025962447330117,0.070215005792904,0.095061237855182,0,0.002620145299117,0.0991575983175788
No_name_1,0.05077609136641,0.101938736256102,0.016035356374722,0.011065914129042,0.000567050133752,0.112651338682885
no_name_11,0.018613728619155,0.07328778192824,0,0.109254324338059,0.00138478062019,0.0883039483229327
no_name_12,0.008410098930919,0.018863507259089,0,0.015837519594531,0.000415227334762,0.023813627395563
no_name_13,0.00276304132986,0.006572402333755,5.44440555175918E-05,0.029644560463689,0.000277901362595,0.00793564246600474
no_name_14,0.04990235127759,0.084523051745813,0.009518115843976,0.151268655462174,0.000298595635495,0.118630075986966
no_name_3,0.022679142242287,0.026177351471446,0.001838586025511,0.002028136379688,8.85680470787035E-06,0.0265329617125398
no_name_4,0.015788905404366,0.058852210406146,0.000367780932973,0,4.15456360642017E-06,0.0376742541966201
no_name_5,0.131598421202269,0.10438701718568,0.059258604784391,0,0.000776499898382,0.196489919490173
no_name_6,0.066658695330315,0.107972937471749,0.023662076306324,0.003081393338571,0.001528201420996,0.0877234458281041
no_name_7,0.023316441951449,0.066911787991098,0.000551173391983,0.000892973772231,0.000354971461285,0.0969749594151934
no_name_8,0.004990768570305,0.02537708209785,0,0.110668736973564,0.000364626888957,0.0318771140431106
no_name7,0.005955877965299,0.025800485680169,0,0.001160992008195,0.000921434179039,0.0304567158125772
no_name9,0.029980169608521,0.043033623968043,0,0.013063910050644,0.000388836390722,0.0537685268636396
Nobile_term,0.025307208237893,0.058021972519557,0,0.000429129178363,0.00274879721289,0.0299452682235789
Northeast_Glacier,0.292696883037846,0.247813213063006,0.185772942468237,0.319346390611211,0.013468700829428,0.271899887020831
Nye_Glacier,0.063545490478722,0.049359919753459,0.015577004917758,0.00904645125383,0.001592481636335,0.0672805717902878
Orel_term,0.007109764407128,0.026262110115353,0,0.000719615086221,0.001533328268929,0.0248263215289951
Otlet_Glacier,0.318783250465221,0.542909632833289,0.214482840980456,0.20728219969466,0.002603845199052,0.355047454097153
Pan_Glacier,0.021969762979236,0.030146840620405,0.019914587688611,0.070744309591086,0.047073016969343,0.00997149312523355
Peqoud_Glacier1,0.009140898135746,0.023318284518515,0.004518889460655,0.029279480780894,0.000739535146774,0.0202511518418699
Peqoud_Glacier2,0.00815684052877,0.02530054217174,0.012548310694197,0.034889989552905,9.3803282224406E-05,0.0250387019274093
Perutz_Glacier,0.47807160495873,0.438230542663235,0.05613000035115,0,0.170497340749069,0.42766286676595
Pettus-GavinIce_term,1.03589632253758,0.935225300146428,0.950946840270998,1.7101557834185,0.000122609535119,0.559610021908586
Petzval_Glacier,0.023054577125833,0.035959247157161,0,0,0.000511552441576,0.000705126810848474
Prospect_Glacier,12.433875035708,4.88527764790624,2.3495555040129,3.02054697713408,2.54880866452814,5.02857145275759
Rachel_Glacier,0.014065582369597,0.017759544595589,0.010066827727687,0.014016900641433,0.011686204513325,0.0149389300269872
Reid_Glacier,0.062749678551795,0.085305129740843,0.002685583443042,0.008300287813663,0.001402555824688,0.0724233593781886
