glacier,Carrivick,HF,Shahateet,diff_car,diff_hf
Bader_Glacier2,8.05960156311045E-06,1.46414817304485E-05,3.80822652473032E-05,1.30131985372629,0.889192626113854
Bagshawe-Grubb_term,0.574875155292989,0.715937260256516,0.65054039346133,0.123493190934712,0.0957159696205166
Balch_Glacier,0.206324880178033,0.149528859426234,0.183266595198429,0.118371609426632,0.202753585142835
Barnes_Glacier,0.083079277387895,0.139315429328362,0.117357329490005,0.342033849365562,0.171098015538887
Bayly_term,0.215661095428395,0.181213881687439,0.189234249515738,0.130536674440173,0.0433008950659284
Beaglehole_Glacier1,0.053727639247924,0.1226882906123,0.0532254749124932,0.00939036398094239,0.789737124807515
Beaglehole_Glacier2,0.007945356863155,0.056206737980391,0.0309082665985611,1.18202153052892,0.580806291731339
Bevin_Glacier,0.041724469378707,0.365196458399501,0.245744649432327,1.41942328203769,0.391041975849676
Bilgeri_Glacier,0.082472668603528,0.186370441784195,0.0874571990710822,0.0586657370568758,0.722448927392178
Bills_Glacier,0.62362814947387,0.558760128900893,0.437624361591765,0.350536344447059,0.243150648098171
Birley_Glacier,0.497457593759166,1.28516895069144,0.512645217424018,0.0300714412368817,0.859403320953036
Blanchard_term,0.069489883912819,0.090410745605003,0.0657521568781964,0.0552746322483906,0.31580597356609
Bleriot1_term,0.359190870748348,0.683177186321994,0.581360728414192,0.472424602464474,0.1610334600826
Bolton_Glacier,0.027483104721407,0.085317474563416,0.0747448838636743,0.92463482450176,0.132105896772196
Boydell_term,0.01643375783318,0.031643706320515,0.0171591386867413,0.0431865619644399,0.593595214853562
Breitfuss_Glacier,0.254583360165884,0.197021476743378,0.163570031128404,0.435310730140302,0.185536513671135
Broad-Valley_term,0.428389693968617,0.468457207350258,0.449949712931072,0.0490926828355711,0.0403034733525673
Bucher_Glacier1,0.006343015874309,0.013844437492963,0.0102043063150781,0.466696713410899,0.302729423785351
Bucher_Glacier2,0.000454916145808,0.000485531436306,0.000293977409398515,0.429804036342934,0.491473645137047
Bussey_Glacier,0.029495338567492,0.073728746879685,0.0560074502090793,0.620146126715621,0.273189704465916
Cadman_Glacier,4.3331550496583,2.01929160992967,0.898034058239342,1.31332319308927,0.768688641055325
Cardell_Glacier,0.013828319141681,0.032111405305598,0.0269541278580906,0.643698928437674,0.174628998377616
Carlson_Glacier,1.46943925853117,0.818880952365859,0.988945436680828,0.390902060841952,0.188142495701314
Casey_Glacier,0.576610893799681,0.685846712241017,0.459491483281591,0.226076907280183,0.395263564673388
Centurian_Glacier,4.42074405196658E-05,0.00024120785438,7.24043806134466E-05,0.483603460091649,1.07651076668027
Chamberlin_Glacier,0.033827266693816,0.153598901653702,0.12416401164741,1.14356622595947,0.211942549539598
Clarke_Glacier,0.593391562790222,0.572096424735986,0.497508843225081,0.175786385331671,0.139467490942874
CLM_term,2.23578917346719,2.51170651062022,2.08568041460813,0.0694711628994315,0.185334018189443
Comrie_Glacier,0.349928747532085,1.09980428735009,0.493142225133064,0.339742399499883,0.761685414372558
Cordini_Glacier,0.432771974460158,0.555926672975722,0.368376704576487,0.160757351459667,0.405819069699637
Crane_Glacier,1.29010104708602,1.9990695978969,0.979557816805257,0.27364749409816,0.684551398445775
Cronus_Glacier,0.043566575707345,0.041275396236962,0.0275662671473693,0.449871196422042,0.398280007066563
Daspit_Glacier,0.143672873840718,0.233774241377015,0.249482635919321,0.53825908299331,0.0650105369640648
DBE_term,1.49256359455818,0.692436223415385,0.816600611638456,0.585461164784886,0.164561109893174
DeeIce_Piedmont,0.171867401606855,0.177616062300644,0.199734888565908,0.149985550121863,0.11723212152756
Demorest_Glacier,0.387566606673011,0.574218756539814,0.31559038376482,0.204723052993824,0.581312016386908
Depot_term,0.000493550722737,0.000743673273055,0.00109143192756528,0.754432491376805,0.379006777805147
Deville_term,0.060384266650229,0.118206801696861,0.126128468078213,0.70498351250606,0.0648425942652029
DGC10_term,0.039651888540202,0.094122227711903,0.0786918074228276,0.659771837695886,0.178578322959075
DGC13_term,0.011120025409407,0.01730627615133,0.017614290027088,0.452021530287284,0.0176408294289548
DGC14_term,0.001689693099556,0.00502489554002,0.00404426486239919,0.82127276776906,0.216256110622815
DGC22_term,0.006558959788739,0.01916549880815,0.0262706720698962,1.20084881646167,0.312754051428188
DGC23_term,0.011323188449518,0.039398122419849,0.0407428421783328,1.13009013262777,0.0335588613195782
DGC25_term,0.007949923243229,0.033258987606422,0.0254407232845385,1.0476466831371,0.266381697736351
DGC31_term,0.001000894044023,0.001404718653741,0.00291765152257432,0.978300466831494,0.700047801145549
DGC39_term,0.008743821078506,0.018237395465356,0.0171244627868463,0.647947250924151,0.062945372981941
DGC72_term,0.038367766294461,0.167980210666092,0.12254416616135,1.04624186139838,0.312786451869606
DGC8_term,0.005516852394805,0.018753781951969,0.0137415389011243,0.85414055410306,0.308490140688522
Diplock_term,0.194195848565873,0.350502833894155,0.297481407089657,0.42013559641305,0.163650358916129
Doyle_Galcier2,0.020283370374453,0.018130869317409,0.0150348412741608,0.297213752072761,0.186700540288448
