Lon,Lat,Thick,Elev,Unc,Day,Qual,Source
-6.2571300000000001e+01,-6.7814105999999882e+01,273.1800,528.4512,10.0205,735301,1,IRMCR2_20091116_01
-6.2569636000000003e+01,-6.7809544999999886e+01,288.6200,528.8272,10.1922,735301,1,IRMCR2_20091116_01
-6.2567560999999998e+01,-6.7803821999999883e+01,311.3500,528.1545,10.4564,735301,1,IRMCR2_20091116_01
-6.2565925999999997e+01,-6.7799265999999875e+01,305.6000,528.2349,10.3883,735301,1,IRMCR2_20091116_01
-6.2564290999999997e+01,-6.7794708999999898e+01,285.6000,528.3564,10.1581,735301,1,IRMCR2_20091116_01
-6.2562663000000001e+01,-6.7790149999999883e+01,292.7100,528.5193,10.2387,735301,1,IRMCR2_20091116_01
-6.2561034999999997e+01,-6.7785588999999888e+01,307.6500,528.7233,10.4125,735301,1,IRMCR2_20091116_01
-6.2559407000000000e+01,-6.7781027999999893e+01,292.8600,528.9687,10.2404,735301,1,IRMCR2_20091116_01
-6.2557803999999997e+01,-6.7776537999999888e+01,292.8000,529.1315,10.2398,735301,1,IRMCR2_20091116_01
-6.2556175999999994e+01,-6.7771984999999887e+01,293.1900,529.1011,10.2442,735301,1,IRMCR2_20091116_01
-6.2554544000000007e+01,-6.7767431999999886e+01,293.3100,529.1117,10.2456,735301,1,IRMCR2_20091116_01
-6.2552909999999997e+01,-6.7762877999999887e+01,293.7400,529.1635,10.2505,735301,1,IRMCR2_20091116_01
-6.2551275999999994e+01,-6.7758321999999893e+01,293.1600,529.2565,10.2439,735301,1,IRMCR2_20091116_01
-6.2541595000000001e+01,-6.7731031999999871e+01,287.1400,530.2176,10.1754,735301,1,IRMCR2_20091116_01
-6.2540033000000008e+01,-6.7726478999999884e+01,287.7300,530.0510,10.1821,735301,1,IRMCR2_20091116_01
-6.2538460999999984e+01,-6.7721924999999885e+01,276.8100,529.9254,10.0603,735301,1,IRMCR2_20091116_01
-6.2536893999999997e+01,-6.7717367999999880e+01,275.5800,529.8408,10.0468,735301,1,IRMCR2_20091116_01
-6.2535336999999998e+01,-6.7712809999999891e+01,293.0200,529.7974,10.2423,735301,1,IRMCR2_20091116_01
-6.2533762000000003e+01,-6.7708248999999881e+01,283.9200,529.7950,10.1392,735301,1,IRMCR2_20091116_01
-6.2532184000000001e+01,-6.7703687999999886e+01,276.4500,529.8339,10.0563,735301,1,IRMCR2_20091116_01
-6.2530594000000001e+01,-6.7699126999999891e+01,288.0600,529.9140,10.1858,735301,1,IRMCR2_20091116_01
-6.2529017000000010e+01,-6.7694566999999893e+01,291.2800,530.0352,10.2224,735301,1,IRMCR2_20091116_01
-6.2527453000000008e+01,-6.7690006999999866e+01,302.5400,530.1976,10.3524,735301,1,IRMCR2_20091116_01
-6.2525886999999997e+01,-6.7685493999999892e+01,296.4100,530.2828,10.2812,735301,1,IRMCR2_20091116_01
-6.2524290999999998e+01,-6.7680941999999888e+01,302.8400,530.0738,10.3559,735301,1,IRMCR2_20091116_01
-6.2522683999999991e+01,-6.7676386999999878e+01,301.5300,529.9058,10.3406,735301,1,IRMCR2_20091116_01
-6.2521071999999997e+01,-6.7671831999999881e+01,296.6400,529.7789,10.2839,735301,1,IRMCR2_20091116_01
-6.2519440000000003e+01,-6.7667275999999873e+01,295.8500,529.6930,10.2748,735301,1,IRMCR2_20091116_01
-6.2517794000000009e+01,-6.7662716999999887e+01,283.4000,529.6483,10.1334,735301,1,IRMCR2_20091116_01
-6.2516139999999993e+01,-6.7658156999999875e+01,291.0500,529.6449,10.2198,735301,1,IRMCR2_20091116_01
-6.2514491999999990e+01,-6.7653598999999886e+01,275.4000,529.6826,10.0448,735301,1,IRMCR2_20091116_01
-6.2512858000000008e+01,-6.7649040999999883e+01,283.7400,529.7616,10.1372,735301,1,IRMCR2_20091116_01
-6.2511229000000007e+01,-6.7644480999999885e+01,284.2800,529.8817,10.1433,735301,1,IRMCR2_20091116_01
-6.2509633999999998e+01,-6.7639991999999879e+01,283.8400,530.3845,10.1383,735301,1,IRMCR2_20091116_01
-6.2508028000000003e+01,-6.7635440999999872e+01,266.4100,530.2952,9.9473,735301,1,IRMCR2_20091116_01
-6.2506436999999998e+01,-6.7630888999999868e+01,289.6200,530.2469,10.2035,735301,1,IRMCR2_20091116_01
-6.2504852000000007e+01,-6.7626335999999881e+01,284.7100,530.2396,10.1481,735301,1,IRMCR2_20091116_01
-6.2503272000000003e+01,-6.7621779999999887e+01,284.5600,530.2735,10.1464,735301,1,IRMCR2_20091116_01
-6.2501680000000007e+01,-6.7617220999999873e+01,293.1500,530.3485,10.2438,735301,1,IRMCR2_20091116_01
-6.2500072000000010e+01,-6.7612659999999877e+01,278.2000,530.4648,10.0756,735301,1,IRMCR2_20091116_01
-6.2498469999999998e+01,-6.7608097999999885e+01,267.7400,530.6224,9.9616,735301,1,IRMCR2_20091116_01
-6.2496867999999999e+01,-6.7603534999999866e+01,292.9700,530.8212,10.2417,735301,1,IRMCR2_20091116_01
-6.2495291000000002e+01,-6.7599042999999867e+01,292.8600,531.1228,10.2404,735301,1,IRMCR2_20091116_01
-6.2493697999999995e+01,-6.7594489999999880e+01,289.3100,531.0046,10.2000,735301,1,IRMCR2_20091116_01
-6.2492100999999991e+01,-6.7589936999999878e+01,259.4800,530.9273,9.8738,735301,1,IRMCR2_20091116_01
-6.2490502000000006e+01,-6.7585382999999865e+01,266.7100,530.8912,9.9506,735301,1,IRMCR2_20091116_01
-6.2488909999999997e+01,-6.7580827999999883e+01,269.1300,530.8961,9.9766,735301,1,IRMCR2_20091116_01
-6.2487319999999997e+01,-6.7576271999999875e+01,275.1500,530.9422,10.0421,735301,1,IRMCR2_20091116_01
-6.2485742000000002e+01,-6.7571714999999870e+01,275.8500,531.0294,10.0497,735301,1,IRMCR2_20091116_01
-6.2484157000000003e+01,-6.7567156999999867e+01,275.6400,531.1578,10.0474,735301,1,IRMCR2_20091116_01
-6.2482558999999988e+01,-6.7562595999999886e+01,291.5000,531.3275,10.2249,735301,1,IRMCR2_20091116_01
-6.2480967000000000e+01,-6.7558031999999869e+01,283.9100,531.5386,10.1391,735301,1,IRMCR2_20091116_01
-6.2479393000000002e+01,-6.7553519999999878e+01,284.4300,531.3109,10.1450,735301,1,IRMCR2_20091116_01
-6.2477795999999991e+01,-6.7548967999999888e+01,284.4100,531.2274,10.1447,735301,1,IRMCR2_20091116_01
-6.2476190999999993e+01,-6.7544413999999875e+01,292.8900,531.1850,10.2408,735301,1,IRMCR2_20091116_01
-6.2474577000000004e+01,-6.7539858999999893e+01,292.9400,531.1836,10.2414,735301,1,IRMCR2_20091116_01
-6.2472957999999998e+01,-6.7535302999999871e+01,292.4400,531.2235,10.2356,735301,1,IRMCR2_20091116_01
-6.2471336999999998e+01,-6.7530747999999875e+01,284.8900,531.3044,10.1501,735301,1,IRMCR2_20091116_01
-6.2466506000000010e+01,-6.7517070999999873e+01,278.9600,531.7946,10.0840,735301,1,IRMCR2_20091116_01
-6.2464910000000010e+01,-6.7512511999999887e+01,280.8000,532.0404,10.1044,735301,1,IRMCR2_20091116_01
-6.2463349999999998e+01,-6.7508013999999875e+01,284.1900,532.0074,10.1423,735301,1,IRMCR2_20091116_01
-6.2461779999999997e+01,-6.7503460999999888e+01,284.3800,531.7610,10.1444,735301,1,IRMCR2_20091116_01
-6.2460203999999997e+01,-6.7498906999999875e+01,284.5400,531.5555,10.1462,735301,1,IRMCR2_20091116_01
-6.2458619000000006e+01,-6.7494350999999867e+01,286.9900,531.3911,10.1738,735301,1,IRMCR2_20091116_01
-6.2457023000000007e+01,-6.7489793999999875e+01,283.6600,531.2677,10.1363,735301,1,IRMCR2_20091116_01
-6.2455424000000008e+01,-6.7485235999999873e+01,284.1400,531.1855,10.1417,735301,1,IRMCR2_20091116_01
-6.2453832999999996e+01,-6.7480679999999879e+01,275.8200,531.1445,10.0494,735301,1,IRMCR2_20091116_01
-6.2452243000000010e+01,-6.7476121999999890e+01,284.4000,531.1446,10.1446,735301,1,IRMCR2_20091116_01
-6.2450653000000010e+01,-6.7471560999999866e+01,271.5300,531.1859,10.0026,735301,1,IRMCR2_20091116_01
-6.2449072000000001e+01,-6.7466996999999878e+01,288.7700,531.2685,10.1939,735301,1,IRMCR2_20091116_01
-6.2447519999999997e+01,-6.7462491999999855e+01,301.0700,531.1180,10.3352,735301,1,IRMCR2_20091116_01
-6.2445949999999996e+01,-6.7457937999999871e+01,284.6900,531.0702,10.1479,735301,1,IRMCR2_20091116_01
-6.2444377000000003e+01,-6.7453381999999863e+01,284.2500,531.0635,10.1429,735301,1,IRMCR2_20091116_01
-6.2442789999999995e+01,-6.7448824999999871e+01,291.3900,531.0979,10.2237,735301,1,IRMCR2_20091116_01
-6.2441203000000009e+01,-6.7444266999999869e+01,292.9700,531.1735,10.2417,735301,1,IRMCR2_20091116_01
-6.2439615000000003e+01,-6.7439707999999868e+01,293.2700,531.2903,10.2451,735301,1,IRMCR2_20091116_01
